,x,xdot,theta,theta_dot
744,-3.90,-1.08,-0.06,0.02
745,-4.00,-1.02,-0.06,0.02
746,-4.10,-0.96,-0.05,0.02
747,-4.20,-0.90,-0.05,0.02
748,-4.29,-0.85,-0.05,0.03
749,-4.38,-0.80,-0.05,0.03
750,-4.46,-0.75,-0.04,0.03
751,-4.53,-0.71,-0.04,0.03
752,-4.60,-0.66,-0.04,0.03
753,-4.67,-0.63,-0.03,0.03
754,-4.73,-0.59,-0.03,0.03
755,-4.79,-0.56,-0.03,0.04
756,-4.85,-0.52,-0.02,0.04
757,-4.90,-0.50,-0.02,0.04
758,-4.95,-0.47,-0.02,0.05
759,-4.99,-0.44,-0.01,0.05
760,-5.04,-0.42,-0.01,0.06
761,-5.08,-0.40,-0.00,0.07
762,-5.12,-0.38,0.01,0.08
763,-5.16,-0.36,0.01,0.09
764,-5.19,-0.34,0.02,0.11
765,-5.23,-0.32,0.03,0.13
766,-5.26,-0.30,0.05,0.15
767,-5.29,-0.28,0.06,0.19
768,-5.32,-0.25,0.08,0.23
769,-5.34,-0.22,0.10,0.28
770,-5.36,-0.19,0.13,0.35
771,-5.38,-0.15,0.17,0.43
772,-5.40,-0.10,0.21,0.54
773,-5.41,-0.04,0.26,0.67
774,-5.41,0.04,0.33,0.84
775,-4.00,-1.02,-0.06,0.02
776,-4.10,-0.96,-0.05,0.02
777,-4.20,-0.91,-0.05,0.02
778,-4.29,-0.85,-0.05,0.02
779,-4.38,-0.80,-0.05,0.03
780,-4.46,-0.76,-0.04,0.03
781,-4.53,-0.71,-0.04,0.03
782,-4.60,-0.67,-0.04,0.03
783,-4.67,-0.63,-0.04,0.03
784,-4.73,-0.59,-0.03,0.03
785,-4.79,-0.56,-0.03,0.03
786,-4.85,-0.52,-0.03,0.03
787,-4.90,-0.49,-0.02,0.04
788,-4.95,-0.47,-0.02,0.04
789,-5.00,-0.44,-0.01,0.04
790,-5.04,-0.42,-0.01,0.05
791,-5.08,-0.40,-0.01,0.05
792,-5.12,-0.38,-0.00,0.06
793,-5.16,-0.36,0.01,0.07
794,-5.20,-0.34,0.01,0.08
795,-5.23,-0.32,0.02,0.10
796,-5.26,-0.30,0.03,0.12
797,-5.29,-0.28,0.04,0.14
798,-5.32,-0.26,0.06,0.18
799,-5.35,-0.24,0.08,0.22
800,-5.37,-0.21,0.10,0.27
801,-5.39,-0.18,0.12,0.33
802,-5.41,-0.14,0.16,0.41
803,-5.42,-0.10,0.20,0.51
804,-5.43,-0.04,0.25,0.63
805,-5.44,0.04,0.31,0.79
806,-4.10,-0.96,-0.05,0.02
807,-4.20,-0.91,-0.05,0.02
808,-4.29,-0.86,-0.05,0.02
809,-4.38,-0.81,-0.05,0.02
810,-4.46,-0.76,-0.04,0.02
811,-4.53,-0.71,-0.04,0.03
812,-4.60,-0.67,-0.04,0.03
813,-4.67,-0.63,-0.04,0.03
814,-4.74,-0.59,-0.03,0.03
815,-4.79,-0.56,-0.03,0.03
816,-4.85,-0.53,-0.03,0.03
817,-4.90,-0.50,-0.02,0.03
818,-4.95,-0.47,-0.02,0.04
819,-5.00,-0.44,-0.02,0.04
820,-5.04,-0.42,-0.01,0.04
821,-5.08,-0.40,-0.01,0.05
822,-5.12,-0.37,-0.01,0.05
823,-5.16,-0.36,-0.00,0.06
824,-5.20,-0.34,0.01,0.07
825,-5.23,-0.32,0.01,0.08
826,-5.26,-0.30,0.02,0.09
827,-5.29,-0.28,0.03,0.11
828,-5.32,-0.27,0.04,0.14
829,-5.35,-0.25,0.05,0.17
830,-5.37,-0.22,0.07,0.20
831,-5.39,-0.20,0.09,0.25
832,-5.41,-0.17,0.12,0.31
833,-5.43,-0.13,0.15,0.39
834,-5.45,-0.09,0.19,0.48
835,-5.45,-0.04,0.23,0.60
836,-5.46,0.03,0.29,0.75
837,-4.20,-0.91,-0.05,0.02
838,-4.29,-0.86,-0.05,0.02
839,-4.38,-0.81,-0.05,0.02
840,-4.46,-0.76,-0.04,0.02
841,-4.53,-0.72,-0.04,0.02
842,-4.61,-0.67,-0.04,0.03
843,-4.67,-0.63,-0.04,0.03
844,-4.74,-0.60,-0.03,0.03
845,-4.80,-0.56,-0.03,0.03
846,-4.85,-0.53,-0.03,0.03
847,-4.90,-0.50,-0.03,0.03
848,-4.95,-0.47,-0.02,0.03
849,-5.00,-0.44,-0.02,0.03
850,-5.05,-0.42,-0.02,0.04
851,-5.09,-0.39,-0.01,0.04
852,-5.13,-0.37,-0.01,0.04
853,-5.16,-0.35,-0.00,0.05
854,-5.20,-0.34,-0.00,0.05
855,-5.23,-0.32,0.01,0.06
856,-5.26,-0.30,0.01,0.07
857,-5.29,-0.28,0.02,0.09
858,-5.32,-0.27,0.03,0.11
859,-5.35,-0.25,0.04,0.13
860,-5.37,-0.23,0.05,0.16
861,-5.40,-0.21,0.07,0.19
862,-5.42,-0.19,0.09,0.24
863,-5.44,-0.16,0.11,0.29
864,-5.45,-0.13,0.14,0.36
865,-5.47,-0.08,0.18,0.45
866,-5.48,-0.03,0.22,0.57
867,-5.48,0.03,0.28,0.71
868,-4.29,-0.86,-0.05,0.02
869,-4.38,-0.81,-0.05,0.02
870,-4.46,-0.76,-0.04,0.02
871,-4.53,-0.72,-0.04,0.02
872,-4.61,-0.68,-0.04,0.02
873,-4.67,-0.64,-0.04,0.02
874,-4.74,-0.60,-0.04,0.02
875,-4.80,-0.56,-0.03,0.03
876,-4.85,-0.53,-0.03,0.03
877,-4.91,-0.50,-0.03,0.03
878,-4.96,-0.47,-0.02,0.03
879,-5.00,-0.44,-0.02,0.03
880,-5.05,-0.42,-0.02,0.03
881,-5.09,-0.39,-0.02,0.03
882,-5.13,-0.37,-0.01,0.04
883,-5.17,-0.35,-0.01,0.04
884,-5.20,-0.33,-0.00,0.05
885,-5.23,-0.32,-0.00,0.05
886,-5.27,-0.30,0.01,0.06
887,-5.30,-0.28,0.01,0.07
888,-5.32,-0.27,0.02,0.08
889,-5.35,-0.25,0.03,0.10
890,-5.38,-0.24,0.04,0.12
891,-5.40,-0.22,0.05,0.15
892,-5.42,-0.20,0.06,0.18
893,-5.44,-0.18,0.08,0.22
894,-5.46,-0.15,0.10,0.28
895,-5.48,-0.12,0.13,0.34
896,-5.49,-0.08,0.17,0.43
897,-5.50,-0.03,0.21,0.53
898,-5.50,0.03,0.26,0.67
899,-4.38,-0.81,-0.05,0.02
900,-4.46,-0.77,-0.04,0.02
901,-4.53,-0.72,-0.04,0.02
902,-4.61,-0.68,-0.04,0.02
