,u
1900,0.05
1901,0.04
1902,0.04
1903,0.03
1904,0.03
1905,0.03
1906,0.03
1907,0.02
1908,0.02
1909,0.02
1910,0.01
1911,0.01
1912,0.01
1913,0.01
1914,0.00
1915,0.00
1916,0.00
1917,0.00
1918,-0.00
1919,-0.00
1920,0.08
1921,0.08
1922,0.07
1923,0.07
1924,0.07
1925,0.06
1926,0.06
1927,0.05
1928,0.05
1929,0.05
1930,0.04
1931,0.04
1932,0.04
1933,0.03
1934,0.03
1935,0.03
1936,0.02
1937,0.02
1938,0.02
1939,0.02
1940,0.01
1941,0.01
1942,0.01
1943,0.01
1944,0.00
1945,0.00
1946,0.00
1947,0.00
1948,-0.00
1949,-0.00
1950,0.08
1951,0.07
1952,0.07
1953,0.07
1954,0.06
1955,0.06
1956,0.06
1957,0.05
1958,0.05
1959,0.04
1960,0.04
1961,0.04
1962,0.03
1963,0.03
1964,0.03
1965,0.03
1966,0.02
1967,0.02
1968,0.02
1969,0.01
1970,0.01
1971,0.01
1972,0.01
1973,0.01
1974,0.00
1975,0.00
1976,0.00
1977,0.00
1978,-0.00
1979,-0.00
1980,0.07
1981,0.07
1982,0.07
1983,0.06
1984,0.06
1985,0.06
1986,0.05
1987,0.05
1988,0.05
1989,0.04
1990,0.04
1991,0.04
1992,0.03
1993,0.03
1994,0.03
1995,0.02
1996,0.02
1997,0.02
1998,0.02
1999,0.01
2000,0.01
2001,0.01
2002,0.01
2003,0.01
2004,0.00
2005,0.00
2006,0.00
2007,0.00
2008,-0.00
2009,-0.00
2010,0.07
2011,0.07
2012,0.06
2013,0.06
2014,0.06
2015,0.05
2016,0.05
2017,0.05
2018,0.04
2019,0.04
2020,0.04
2021,0.03
2022,0.03
2023,0.03
2024,0.02
2025,0.02
2026,0.02
2027,0.02
2028,0.02
2029,0.01
2030,0.01
2031,0.01
2032,0.01
2033,0.01
2034,0.00
2035,0.00
2036,0.00
2037,0.00
2038,-0.00
2039,-0.00
2040,0.06
2041,0.06
2042,0.06
2043,0.06
2044,0.05
2045,0.05
2046,0.05
2047,0.04
2048,0.04
2049,0.04
2050,0.03
2051,0.03
2052,0.03
2053,0.03
2054,0.02
2055,0.02
2056,0.02
2057,0.02
2058,0.01
2059,0.01
2060,0.01
2061,0.01
2062,0.01
2063,0.01
2064,0.00
2065,0.00
2066,0.00
2067,0.00
2068,-0.00
2069,-0.00
2070,0.06
2071,0.06
2072,0.06
2073,0.05
2074,0.05
2075,0.05
2076,0.04
2077,0.04
2078,0.04
2079,0.04
2080,0.03
2081,0.03
2082,0.03
2083,0.02
2084,0.02
2085,0.02
2086,0.02
2087,0.02
2088,0.01
2089,0.01
2090,0.01
2091,0.01
2092,0.01
2093,0.00
2094,0.00
2095,0.00
2096,0.00
2097,0.00
2098,-0.00
2099,-0.00
2100,0.06
2101,0.05
2102,0.05
2103,0.05
2104,0.05
2105,0.04
2106,0.04
2107,0.04
2108,0.04
2109,0.03
2110,0.03
2111,0.03
2112,0.03
2113,0.02
